-------------------------------------------------------------------------------
ATI devices
-------------------------------------------------------------------------------
  VERDE, PCI_ID=682b, (HW Video Decode)
  VERDE, PCI_ID=682c, (HW Video Decode)
  VERDE, PCI_ID=682d, (HW Video Decode)
  VERDE, PCI_ID=682f, (HW Video Decode)
  VERDE, PCI_ID=6830, (HW Video Decode)
  VERDE, PCI_ID=6831, (HW Video Decode)
  VERDE, PCI_ID=6835, (HW Video Decode)
  VERDE, PCI_ID=6837, (HW Video Decode)
  VERDE, PCI_ID=6838, (HW Video Decode)
  VERDE, PCI_ID=6839, (HW Video Decode)
  VERDE, PCI_ID=683b, (HW Video Decode)
  VERDE, PCI_ID=683d, (HW Video Decode)
  VERDE, PCI_ID=683f, (HW Video Decode)
  OLAND, PCI_ID=6600, (HW Video Decode)
  OLAND, PCI_ID=6601, (HW Video Decode)
  OLAND, PCI_ID=6602, (HW Video Decode)
  OLAND, PCI_ID=6603, (HW Video Decode)
  OLAND, PCI_ID=6604, (HW Video Decode)
  OLAND, PCI_ID=6605, (HW Video Decode)
  OLAND, PCI_ID=6606, (HW Video Decode)
  OLAND, PCI_ID=6607, (HW Video Decode)
  OLAND, PCI_ID=6608, (HW Video Decode)
  OLAND, PCI_ID=6610, (HW Video Decode)
  OLAND, PCI_ID=6611, (HW Video Decode)
  OLAND, PCI_ID=6613, (HW Video Decode)
  OLAND, PCI_ID=6617, (HW Video Decode)
  OLAND, PCI_ID=6620, (HW Video Decode)
  OLAND, PCI_ID=6621, (HW Video Decode)
